time,action
190.0,RUNNING
190.4,WARNING
190.8,WARNING
191.2,WARNING
191.6,WARNING
192.0,WARNING
192.4,WARNING
192.8,WARNING
193.2,WARNING
193.6,WARNING
194.0,WARNING
194.4,WARNING
194.8,WARNING
195.2,WARNING
195.6,RUNNING
196.0,RUNNING
196.4,RUNNING
196.8,RUNNING
197.2,RUNNING
197.6,RUNNING
198.0,RUNNING
198.4,RUNNING
198.8,RUNNING
199.2,WARNING
199.6,WARNING
200.0,WARNING
200.4,WARNING
200.8,WARNING
201.2,WARNING
201.6,WARNING
202.0,WARNING
202.4,WARNING
202.8,WARNING
203.2,RUNNING
203.6,RUNNING
204.0,RUNNING
204.4,RUNNING
204.8,RUNNING
205.2,RUNNING
205.6,RUNNING
206.0,RUNNING
206.4,RUNNING
206.8,RUNNING
207.2,RUNNING
207.6,WARNING
208.0,WARNING
208.4,WARNING
208.8,WARNING
209.2,WARNING
209.6,WARNING
210.0,WARNING
210.4,WARNING
210.8,WARNING
211.2,WARNING
211.6,RUNNING
212.0,RUNNING
212.4,RUNNING
212.8,RUNNING
213.2,RUNNING
213.6,RUNNING
214.0,RUNNING
214.4,RUNNING
214.8,RUNNING
215.2,RUNNING
215.6,WARNING
216.0,WARNING
216.4,WARNING
216.8,WARNING
217.2,WARNING
217.6,WARNING
218.0,WARNING
218.4,WARNING
218.8,WARNING
219.2,WARNING
219.6,WARNING
220.0,RUNNING
220.4,RUNNING
220.8,RUNNING
221.2,RUNNING
221.6,RUNNING
222.0,RUNNING
222.4,RUNNING
222.8,RUNNING
223.2,RUNNING
223.6,RUNNING
224.0,RUNNING
224.4,WARNING
224.8,WARNING
225.2,WARNING
225.6,WARNING
226.0,WARNING
226.4,WARNING
226.8,WARNING
227.2,WARNING
227.6,WARNING
228.0,WARNING
228.4,WARNING
228.8,WARNING
229.2,WARNING
229.6,WARNING
230.0,RUNNING
230.4,RUNNING
230.8,RUNNING
231.2,RUNNING
231.6,RUNNING
232.0,RUNNING
232.4,RUNNING
232.8,RUNNING
233.2,RUNNING
233.6,RUNNING
234.0,RUNNING
234.4,RUNNING
234.8,RUNNING
235.2,WARNING
235.6,WARNING
236.0,WARNING
236.4,WARNING
236.8,WARNING
237.2,WARNING
237.6,WARNING
238.0,WARNING
238.4,WARNING
238.8,WARNING
239.2,WARNING
239.6,RUNNING
240.0,RUNNING
240.4,RUNNING
240.8,RUNNING
241.2,RUNNING
241.6,WARNING
242.0,RUNNING
242.4,RUNNING
242.8,RUNNING
243.2,RUNNING
243.6,WARNING
244.0,WARNING
244.4,WARNING
244.8,WARNING
245.2,WARNING
245.6,WARNING
246.0,WARNING
246.4,STOP SYSTEM
246.8,STOP SYSTEM
247.2,WARNING
247.6,WARNING
248.0,WARNING
248.4,WARNING
248.8,WARNING
249.2,RUNNING
249.6,RUNNING
250.0,RUNNING
250.4,RUNNING
250.8,RUNNING
251.2,RUNNING
251.6,RUNNING
252.0,RUNNING
252.4,RUNNING
252.8,RUNNING
253.2,WARNING
253.6,WARNING
254.0,WARNING
254.4,WARNING
254.8,WARNING
255.2,WARNING
255.6,WARNING
256.0,STOP SYSTEM
256.4,WARNING
256.8,WARNING
257.2,STOP SYSTEM
257.6,STOP SYSTEM
258.0,RUNNING
258.4,RUNNING
258.8,RUNNING
259.2,RUNNING
259.6,RUNNING
260.0,RUNNING
260.4,RUNNING
260.8,RUNNING
261.2,RUNNING
261.6,WARNING
262.0,RUNNING
262.4,RUNNING
262.8,RUNNING
263.2,WARNING
263.6,WARNING
264.0,WARNING
264.4,WARNING
264.8,WARNING
265.2,WARNING
265.6,WARNING
266.0,WARNING
266.4,WARNING
266.8,WARNING
267.2,WARNING
267.6,WARNING
268.0,WARNING
268.4,WARNING
268.8,WARNING
269.2,RUNNING
269.6,RUNNING
270.0,RUNNING
270.4,RUNNING
270.8,RUNNING
271.2,RUNNING
271.6,RUNNING
272.0,RUNNING
272.4,RUNNING
272.8,RUNNING
273.2,WARNING
273.6,WARNING
274.0,WARNING
274.4,WARNING
274.8,WARNING
275.2,WARNING
275.6,WARNING
276.0,WARNING
276.4,WARNING
276.8,WARNING
277.2,WARNING
277.6,RUNNING
278.0,RUNNING
278.4,RUNNING
278.8,RUNNING
279.2,RUNNING
279.6,RUNNING
280.0,RUNNING
280.4,RUNNING
280.8,RUNNING
281.2,RUNNING
281.6,RUNNING
282.0,RUNNING
282.4,WARNING
282.8,WARNING
283.2,WARNING
283.6,WARNING
284.0,WARNING
284.4,WARNING
284.8,WARNING
285.2,WARNING
285.6,WARNING
286.0,RUNNING
286.4,RUNNING
286.8,RUNNING
287.2,RUNNING
287.6,RUNNING
288.0,RUNNING
288.4,RUNNING
288.8,RUNNING
289.2,WARNING
289.6,RUNNING
290.0,WARNING
290.4,WARNING
290.8,WARNING
291.2,WARNING
291.6,WARNING
292.0,WARNING
292.4,WARNING
292.8,WARNING
293.2,STOP SYSTEM
293.6,WARNING
294.0,STOP SYSTEM
294.4,WARNING
294.8,WARNING
295.2,STOP SYSTEM
295.6,WARNING
296.0,RUNNING
296.4,RUNNING
296.8,RUNNING
297.2,RUNNING
297.6,RUNNING
298.0,RUNNING
298.4,RUNNING
298.8,RUNNING
299.2,RUNNING
299.6,WARNING
300.0,WARNING
300.4,WARNING
300.8,WARNING
301.2,WARNING
301.6,WARNING
302.0,WARNING
302.4,WARNING
302.8,WARNING
303.2,WARNING
303.6,WARNING
304.0,WARNING
304.4,RUNNING
304.8,RUNNING
305.2,RUNNING
305.6,RUNNING
306.0,RUNNING
306.4,RUNNING
306.8,RUNNING
307.2,RUNNING
307.6,RUNNING
308.0,RUNNING
308.4,WARNING
308.8,WARNING
309.2,WARNING
309.6,WARNING
310.0,WARNING
310.4,WARNING
310.8,WARNING
311.2,WARNING
311.6,WARNING
312.0,WARNING
312.4,WARNING
312.8,WARNING
313.2,WARNING
313.6,WARNING
314.0,RUNNING
314.4,RUNNING
314.8,RUNNING
315.2,RUNNING
315.6,RUNNING
316.0,RUNNING
316.4,RUNNING
316.8,RUNNING
317.2,RUNNING
317.6,RUNNING
318.0,WARNING
318.4,WARNING
318.8,WARNING
319.2,WARNING
319.6,WARNING
320.0,WARNING
320.4,WARNING
320.8,WARNING
321.2,WARNING
321.6,WARNING
322.0,WARNING
322.4,WARNING
322.8,WARNING
323.2,WARNING
323.6,WARNING
324.0,WARNING
324.4,RUNNING
324.8,RUNNING
325.2,RUNNING
325.6,RUNNING
326.0,RUNNING
326.4,RUNNING
326.8,RUNNING
327.2,RUNNING
327.6,RUNNING
328.0,RUNNING
328.4,RUNNING
328.8,RUNNING
329.2,RUNNING
329.6,RUNNING
330.0,WARNING
330.4,WARNING
330.8,WARNING
331.2,WARNING
331.6,WARNING
332.0,WARNING
332.4,WARNING
332.8,WARNING
333.2,WARNING
333.6,STOP SYSTEM
334.0,RUNNING
334.4,RUNNING
334.8,RUNNING
335.2,RUNNING
335.6,RUNNING
336.0,RUNNING
336.4,WARNING
336.8,WARNING
337.2,WARNING
337.6,STOP SYSTEM
338.0,WARNING
338.4,WARNING
338.8,WARNING
339.2,WARNING
339.6,WARNING
340.0,WARNING
340.4,RUNNING
340.8,RUNNING
341.2,RUNNING
341.6,RUNNING
342.0,RUNNING
342.4,RUNNING
342.8,RUNNING
343.2,RUNNING
343.6,RUNNING
344.0,WARNING
344.4,RUNNING
344.8,RUNNING
345.2,WARNING
345.6,WARNING
346.0,STOP SYSTEM
346.4,WARNING
346.8,WARNING
347.2,STOP SYSTEM
347.6,WARNING
348.0,STOP SYSTEM
348.4,WARNING
348.8,WARNING
349.2,RUNNING
349.6,RUNNING
350.0,RUNNING
350.4,RUNNING
350.8,RUNNING
351.2,RUNNING
351.6,RUNNING
352.0,RUNNING
352.4,WARNING
352.8,WARNING
353.2,WARNING
353.6,WARNING
354.0,WARNING
354.4,WARNING
354.8,WARNING
355.2,WARNING
355.6,WARNING
356.0,WARNING
356.4,WARNING
356.8,WARNING
357.2,WARNING
357.6,WARNING
358.0,RUNNING
358.4,RUNNING
358.8,RUNNING
359.2,RUNNING
359.6,RUNNING
360.0,RUNNING
360.4,RUNNING
360.8,RUNNING
361.2,RUNNING
361.6,RUNNING
362.0,RUNNING
362.4,WARNING
362.8,WARNING
363.2,WARNING
363.6,WARNING
364.0,WARNING
364.4,WARNING
364.8,WARNING
365.2,STOP SYSTEM
365.6,WARNING
366.0,STOP SYSTEM
366.4,WARNING
366.8,WARNING
367.2,STOP SYSTEM
367.6,WARNING
368.0,RUNNING
368.4,RUNNING
368.8,RUNNING
369.2,RUNNING
369.6,WARNING
370.0,RUNNING
370.4,RUNNING
370.8,RUNNING
371.2,RUNNING
371.6,RUNNING
372.0,RUNNING
372.4,WARNING
372.8,WARNING
373.2,WARNING
373.6,STOP SYSTEM
374.0,WARNING
374.4,WARNING
374.8,WARNING
375.2,WARNING
375.6,WARNING
376.0,STOP SYSTEM
376.4,WARNING
376.8,WARNING
377.2,STOP SYSTEM
377.6,WARNING
